"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"tismri_volr01",8.47683713042687e-33,0.150142387141597,0.000738361801892335,0.00312987165210222,0.0082643871315248,7.54671898182446e-06,0.342035788350993,0.457198543672936,0.457082825428564,0.289622041216246,0,0.0220326981871755,2.15908833130675e-130,0.000314461242855682,1,1,1,1,1,0.0205076561190892,1,1,1,1,0.000279372074883176,1,1,0.0456595020284556,1,1,0.111424786435784,1,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr02",4.94695502826591e-10,0.838963060837325,0.00480465301922257,0.0803809894559721,0.0329826887801605,0.195967925032319,0.842834861670502,0.163884169818122,0.163409908584373,0.196629393843766,3.35353092651073e-05,0,2.78918306581938e-61,1,0.00168104982407323,0.000318816242904057,1,1,1,1,0.193978873620718,1,1,1,6.99919911826505e-06,1,1,6.54211629817302e-06,1,1,1,1,1,1,9.41608543413381e-05,1,0.806836365895791,1,1,1,1,1,1
"tismri_volr03",3.5035081807536e-35,0.320291038034095,7.07297528736364e-05,0.0015661439305703,0.00124870012319725,5.86003624122169e-05,0.343652089619671,0.916007289161385,0.916544210083997,0.749047913068952,2.41779208433006e-133,3.22448909343281e-64,0,0.398726047556763,1,0.062133759713325,1,1,1,0.980728521018181,0.490027198221739,1,1,1,7.37716452965169e-10,1,1,4.46668618725054e-07,1,1,1,1,1,1,0.00041313361939412,1,1,0.163097089470835,1,1,1,1,1
"tismri_TIV",0.716760735722519,7.62793940694815e-11,0.0292102781149669,0.00548036950074747,0.864186048967276,0.0692472982377154,0.00134618929814419,0.0118518699687495,0.011856493912558,0.447688991285838,4.47950488398407e-07,0.655194227975436,0.000660142462842323,0,1,1,1,1,0.000200627722537456,1,7.14170131954216e-06,0.000139424673250238,0.109857598546236,1,1,2.23802814354783e-05,1,1,1,1,1,1,1,1,1,1,1,0.656598922728283,1,1,1,1,1
"tis_bone",0.119469417604655,0.673692290123336,0.0581287525746326,0.234877310092205,0.0144198804115878,0.455422004780428,8.75009059061189e-24,3.16243580060157e-23,3.14485024632949e-23,5.1117939540095e-13,0.408900795772622,2.44338637219946e-06,0.00611194289926693,0.211333629309103,0,7.31062787375749e-82,2.75420187064781e-89,2.75420187064781e-89,3.51712625567875e-16,3.91918540869911e-12,6.29040340895968e-05,5.76507499112808e-22,0.00401874965372088,0.885074931910169,1,2.21303552329346e-18,0.000526358167904462,1,1,0.241983204593198,1,1.10721631939542e-05,1,1,1,2.42689715049743e-05,1,1,1,1,1,1,1
"vROI_bonecortex03",0.0186450080372295,0.541559496016026,1.40478173446442e-11,7.44466570752566e-10,6.61415722425812e-12,9.28377134758093e-07,2.46174185854582e-15,2.40522632595928e-12,2.39615451439365e-12,1.92148919210108e-05,0.0381959082449021,4.54802058351008e-07,9.67815571858645e-05,0.207967654006006,8.35500328429427e-85,0,1.16543273463458e-65,1.16543273463458e-65,6.85388035454133e-13,2.04582217756044e-08,8.13498132348727e-13,2.15065803732026e-13,1,0.0214269023488044,0.00315019784195227,2.82777099434859e-12,1,1.64820957038776e-19,1,1,0.0384508883104509,1,1,1,1,1,1,3.0075839602985e-06,1,1,1,1,1
"sROI_bonecortex03",0.377414357060536,0.0571785252631652,0.0711444887517111,0.52976367980997,0.0489304797782392,0.756616909138879,1.25977637252998e-66,1.04022125663627e-44,1.02780809815711e-44,7.30739941105238e-21,0.634154598876903,0.0268883714941307,0.748046680307889,0.484372335655463,3.12977485300887e-92,1.33803987902936e-68,0,0,1,1,1,0.735546073782597,1,1,1,1,1,1,1,1,1,0.000151539658925938,1,1,1,7.21731876963347e-05,1,1,1,1,1,1,1
"main_sBMDH",0.377414357060536,0.0571785252631652,0.0711444887517111,0.52976367980997,0.0489304797782392,0.756616909138879,1.25977637252998e-66,1.04022125663627e-44,1.02780809815711e-44,7.30739941105238e-21,0.634154598876903,0.0268883714941307,0.748046680307889,0.484372335655463,3.12977485300887e-92,1.33803987902936e-68,0,0,1,1,1,0.735546073782597,1,1,1,1,1,1,1,1,1,0.000151539658925938,1,1,1,7.21731876963347e-05,1,1,1,1,1,1,1
"sROI_bonethickness01",0.0948576215998165,0.13699563004981,8.55329679657169e-06,1.08982240439374e-06,8.69856117465729e-07,0.000112747779967348,2.1633125035489e-14,2.50584511678854e-06,2.51455048300025e-06,0.0603784320184132,0.429087139436499,0.0406123464668397,0.634854997594771,2.84982560422523e-07,4.45770121125316e-19,8.7757751018455e-16,0.0121025537743385,0.0121025537743385,0,1.7179503270476e-138,1.20577298588526e-141,7.54556910399816e-199,1.3149392820592e-34,2.8444837954521e-44,2.4403031299419e-17,4.23243135693358e-198,1.30977562375949e-35,0.000515278767739417,0.164121022313894,1,0.00380759838754763,1,1,1,1,1,1,0.00197641892180755,1,1,1,1,1
"sROI_bonethickness02",0.365049881399747,0.110301673854921,0.0169584286183255,0.00381274322553696,0.00238873545858542,0.0200694301195491,1.37857402359531e-14,1.58190208569226e-05,1.58377501419557e-05,0.138044444505611,3.10722062410442e-05,0.928581410098473,0.00170858627355084,0.00622554633002264,5.07009755329769e-15,2.73505638711289e-11,0.1381442600841,0.1381442600841,1.91735527572277e-141,0,2.16035564017344e-54,3.58687737867664e-116,1.00915519312884e-10,1.59382209340634e-19,3.93288852122871e-06,9.10971928875066e-110,2.05608147996847e-11,0.199211371766304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness03",0.0159042416072727,0.111810694925762,1.95833128960489e-10,1.32794025110538e-12,7.9256583709752e-12,1.2803788996045e-10,2.5933991443861e-21,7.677289744043e-10,7.71847358623531e-10,0.00301041062167342,0.0595944858604922,0.000311863140869321,0.000826352779463303,9.93282520103221e-09,8.81008880806678e-08,1.04428515064021e-15,0.44510696109515,0.44510696109515,1.34422852384087e-144,2.52377995347364e-57,0,4.49732167813055e-90,2.47146838972953e-17,4.91590068549184e-34,3.43386264742882e-15,2.21088424449467e-87,4.69974200768604e-15,5.53297596506179e-07,0.306621343265459,1,2.22777838547932e-07,0.190440426816808,1,1,1,0.175444135132045,1,1.03181048751339e-09,1,1,1,1,1
"sROI_bonethickness04",0.898960844713556,0.00708520908025465,0.00577537555741301,0.000708628740144291,0.00407436120738623,0.100484911857971,8.01044792003197e-13,0.000785631323110268,0.000787528268401035,0.568613463387626,0.197923273597222,0.0259638807792148,0.861025855879681,1.96927504590731e-07,7.12617427827946e-25,2.74668970283558e-16,0.0012551980781273,0.0012551980781273,8.39329155060975e-202,4.02567607034415e-119,5.10479191615272e-93,0,2.79419204180586e-12,4.34652594588268e-24,1.77118973291424e-10,2.89097202875123e-247,2.61741054275625e-12,0.866017902939152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness05",0.00584109790684959,0.435829217843997,0.00197150092686451,0.00168134881862815,0.000583791604751658,0.000806705527783247,0.860525703852484,0.152609370035431,0.152807891324235,0.167035611890752,0.418310624788627,0.0996924897904884,0.186872707269424,0.000173004092198797,5.92735937126974e-06,0.00889238477462654,0.027822424879148,0.027822424879148,1.56354254703829e-37,1.31571733132835e-13,3.12448595414605e-20,3.60540908620111e-15,0,4.40213167986201e-08,1,4.89765252270788e-14,1.23949707411042e-32,0.22412395569185,5.57919230701836e-08,1,0.000115123654162925,1,1.45712654817487e-52,0.96494134845207,1,1,5.0321735985546e-09,1,1,1,1,1,1
"sROI_bonethickness06",0.000164519706932579,0.196994804470276,0.0036317540976107,0.000390840776584806,0.000489629792593975,0.0104074031472055,4.41974594010515e-06,0.000276079850170655,0.000276499343218743,0.014040488784139,0.0388973808069951,0.00223851653170195,0.00251094117081601,0.0119626525745766,0.0015312715084951,3.25636813811616e-05,0.0415364640698199,0.0415364640698199,3.34251914859236e-47,1.99227761675793e-22,5.85226272082362e-37,5.34628037623946e-27,5.9089015837074e-11,0,1.97680072166755e-49,9.37162849447434e-23,3.10717593886923e-06,0.232746586413317,1,1,1,1,1,1,1,1,1,0.289444767260481,1,1,1,1,1
"sROI_bonethickness07",7.31463464925213e-07,0.166705884766161,0.0013609102064528,1.71475236202422e-05,0.000221587927781005,0.000314112236030049,4.96938014952309e-05,0.00544452138371146,0.00546176283610533,0.00986015291182147,3.97399822024433e-07,9.72110988647924e-09,9.71958436054241e-13,0.665195570821461,0.0848532211369641,4.61905841928485e-06,0.802125953831985,0.802125953831985,3.08119082063371e-20,5.43967983572436e-09,4.35769371501119e-18,2.31831116873592e-13,0.00175797341264388,2.31746860687873e-52,0,5.16367729154291e-10,1,0.000149545451719528,1,1,0.511606866661876,1,1,1,1,1,1,0.010682736389362,1,1,1,1,1
"sROI_bonethickness08",0.406560916555494,0.0022309130876605,0.00428436461982582,0.000722029740823245,0.00491705473562656,0.107817255206088,1.49661352249087e-14,0.000151138354483993,0.000151669191243407,0.406403428499018,0.276797865558498,0.0384906690350516,0.817301285797126,3.1257376306534e-08,2.78019538102193e-21,3.6534508970912e-15,0.0100546060182967,0.0100546060182967,4.71317523043828e-201,1.02356396502816e-112,2.51809139464086e-90,3.21219114305693e-250,6.24700576876005e-17,1.15699117215733e-25,6.78538408875547e-13,0,1.04433152137998e-12,1,1,1,1,1,1,1,1,1,1,0.795696326482119,1,1,1,1,1
"sROI_bonethickness09",0.0109433801929861,0.019355163781113,0.00444326761371062,0.107701221104233,0.000448767163214798,0.0783577946263958,0.827064925924518,0.419577338772701,0.41948847861686,0.83051581520906,0.513173109987787,0.125305176483721,0.132358375212146,0.0132365763906754,7.57349881876924e-07,0.00732275706060666,0.0107986626186574,0.0107986626186574,1.5518668527956e-38,2.67718942704228e-14,5.97171792590348e-18,3.372951730356e-15,1.47911345359238e-35,4.29167947357628e-09,0.0698662440271268,1.34232843365037e-15,0,1,7.94240866483856e-13,1,1.01917231578443e-06,1,1.41419897653665e-14,0.00282056349694499,0.0872904935328364,1,2.38441745070498e-100,1,1,1,1,1,1
"tis_head",0.000381571571146828,0.280458783882576,2.72206064455348e-77,3.7708812449048e-62,8.19682147138413e-61,5.70707697692646e-44,0.243172342724688,0.0577511355221008,0.0577024934073679,0.00467805815627925,7.06803436972996e-05,9.06110290605681e-09,6.10203031045156e-10,0.6244976942259,0.00276239705993201,2.06284051362674e-22,0.0105713745864801,0.0105713745864801,7.40343057096864e-07,0.0003213086641392,7.57941913022163e-10,0.0014957131311557,0.000362660122478721,0.000377835367554085,2.11521148118145e-07,0.00204085587740833,0.0183052292430757,0,3.54284201111164e-32,5.01890367148309e-43,5.30322194126396e-31,9.94508430414199e-52,1,1,1,4.25110672164166e-48,1,4.42413396485768e-56,1,1,1,1,1
"sROI_headthickness01",0.745752937342359,0.10549382031429,1.30936528982433e-24,8.55355482369254e-24,6.72102768778055e-20,8.42798431741197e-28,0.257974221211403,1.11748563371018e-05,1.11425519734573e-05,1.49345455692509e-05,0.131275027171966,0.246212924973377,0.66531645783587,0.0272419974458004,0.0761009255461564,0.0164080585520075,0.0387604888709922,0.0387604888709922,0.0002613392075062,0.246051381510963,0.000505142245906852,0.907294990392506,7.5191270984075e-11,0.153744038499161,0.0328105312266976,0.716135753748621,1.01825752113315e-15,4.24292456420556e-35,0,1.13206050076654e-59,6.32389427308009e-131,2.9720232253451e-58,7.6667398995469e-26,5.30720327374071e-35,6.22408391074261e-23,3.80512763916001e-61,2.50950238087417e-26,4.4638589403616e-21,0.23075401064044,1,1,1,1
