"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"v_23239_2_0",0.257519668511489,0.011856493912558,0.457082825428564,0.163409908584373,0.916544210083997,1.66634944830593e-22,1.02780809815711e-44,1.93918025759687e-39,8.395779559173e-27,1.02780809815711e-44,7.76296238016066e-33,5.52844180584266e-31,3.27160081729027e-16,2.90176484226231e-19,1.2010300429187e-33,1.42636457408323e-34,2.39615451439365e-12,2.51455048300025e-06,1.58377501419557e-05,7.71847358623531e-10,0.000787528268401035,0.152807891324235,0.000276499343218743,0.00546176283610533,0.000151669191243407,0.41948847861686,6.57813182360822e-63,0,5.83777567969225e-90,0.596894530637152,0.0512573841693774,0.0108639881741208,0.00050392037526272,0.0105270174768516,9.94241973400414e-08,1,1,1,5.64982169502001e-08,1,1,5.17119373811473e-08,0.0368812421025203,0.0400415861946379,1,1,1,1,1,1,1,1
"v_23300_2_0",0.203042532058073,0.447688991285838,0.289622041216246,0.196629393843766,0.749047913068952,2.86424956507124e-11,7.30739941105238e-21,3.93944776280658e-18,1.55251196550198e-12,7.30739941105238e-21,8.06385289279658e-15,1.91385072706184e-16,7.73141661086627e-09,1.78509891618843e-12,1.34178726172245e-14,7.28139276139518e-17,1.92148919210108e-05,0.0603784320184132,0.138044444505611,0.00301041062167342,0.568613463387626,0.167035611890752,0.014040488784139,0.00986015291182147,0.406403428499018,0.83051581520906,1.81853705135468e-17,4.57147664815368e-93,0,1,1,0.0144865092021734,0.00818584788402196,0.0924290759580585,9.8411384457772e-06,1,1,1,1.31198758641062e-05,1,1,4.53174964170994e-08,0.013895756091073,0.205924382749222,1,1,0.0996453426161179,1,1,1,1,1
"v_51_2_0",0.0104700588089937,7.62793940694815e-11,0.150142387141597,0.838963060837325,0.320291038034095,0.128901939289796,0.0571785252631652,0.0451103201170901,0.149812192587993,0.0571785252631652,0.0364760392462223,0.0290250283709012,0.0216861973577697,0.495039802026454,0.107664717453266,0.179103989515673,0.541559496016026,0.13699563004981,0.110301673854921,0.111810694925762,0.00708520908025465,0.435829217843997,0.196994804470276,0.166705884766161,0.0022309130876605,0.019355163781113,0.000432242003873985,0.000677519331029684,0.0834005606729098,0,8.60342295162517e-71,1,0.00782511548070541,1,0.0449561004086672,1,1,1,0.0533652735138017,1,1,1,0.670516043593537,1,1,1,1,1,1,1,1,1
"v_50_2_0",0.0381155288838856,1.32479365892196e-12,0.555901241450933,0.747068936067635,0.90601686644077,0.00451094739666579,0.00302597579386303,0.00318821668951925,0.052547595093482,0.00302597579386303,0.002109244451473,0.0131029462295873,0.000387277856106767,0.0965468673779054,0.0121345633565756,0.0225951100496803,0.159305519334286,0.511175064113591,0.549918124345343,0.0343780452671313,0.0399914792681931,0.0118519919112205,0.0492327767500232,0.0640448669550623,0.042966484809133,0.000114790355432794,7.44313386987045e-05,5.41260656487618e-05,0.057512102714884,6.86078385297063e-74,0,1,0.0267539169059344,1,0.0253958399381064,0.100277464880845,1,1,0.0176316075997662,0.0769112012653526,1,1,1,0.0523630417998048,1,1,1,0.36123801389169,1,1,1,1
"sROI_headthickness01",0.745752937342359,0.0272419974458004,0.131275027171966,0.246212924973377,0.66531645783587,0.721797276040772,0.0387604888709922,0.0659038835405271,0.0165298571842827,0.0387604888709922,0.020375364058539,0.617761119422973,0.046277581307532,0.98007519933171,0.0162196884967713,0.793431982758996,0.0164080585520075,0.0002613392075062,0.246051381510963,0.000505142245906852,0.907294990392506,7.5191270984075e-11,0.153744038499161,0.0328105312266976,0.716135753748621,1.01825752113315e-15,0.257974221211403,1.11425519734573e-05,1.49345455692509e-05,0.10549382031429,0.656760129834803,0,1.62380338960125e-59,9.24533536344035e-131,4.25909265471458e-58,1.09431244720028e-25,7.52955529702715e-35,8.90687869985581e-23,5.45225464962974e-61,3.57191944722966e-26,5.02786560858359e-32,9.21515200418268e-33,1.5123169097471e-21,9.87080226654119e-21,7.64852950869426e-17,1.08780815621496e-08,3.15835916836949e-20,0.336220187302684,1,1,1,1
"sROI_headthickness02",0.0314672638816811,0.0627496868827105,0.332797894837277,0.675608956257867,0.467425923650036,0.059778983945328,0.0167227828121378,0.00818570052141393,0.041443946131017,0.0167227828121378,0.0106567844156364,0.0260830093476882,0.820829194178015,0.0495441335430765,0.00227303695989933,0.00859966588830745,0.014993198805135,0.181455644722839,0.204210546755499,0.00200028769581285,0.523100610485699,0.267996414148548,0.676988938603971,0.158823974346342,0.680301319996027,0.484227831283264,0.00174901949308257,4.9992100720508e-07,8.35290600410404e-06,7.96854936935377e-06,2.78396637938963e-05,1.31482055838158e-62,0,2.94389342778647e-25,3.05679976397349e-96,1,0.000760458220040335,1.57973995079966e-10,1.80995249159196e-91,1,7.13274780606068e-43,4.70376281341908e-39,2.35489255311116e-28,8.8007688311149e-30,2.01873422611583e-20,3.84721148884579e-10,5.58945968317395e-20,0.35600951413731,1,1,1,1
"sROI_headthickness03",0.943585508303068,0.0126767018106202,0.000175748874504391,0.900749915336752,0.00740181096842369,0.753615778570799,0.331871935027891,0.22820551694221,0.040764961811889,0.331871935027891,0.0672083372686761,0.161475103013072,0.0852532246886458,0.311945938158207,0.0580897105263828,0.716192367300466,5.9429502798224e-05,5.60765594631463e-06,0.0639499103357314,3.03099100065214e-10,0.269756289481693,1.62374688523166e-07,0.00314095051246655,0.00086566305695749,0.114004232688414,1.40381861678295e-09,0.0763522045188324,1.07748387685277e-05,9.9493084992528e-05,0.135882858165748,0.174824739783434,7.07370724058175e-134,2.52045670187197e-28,0,3.12228506932294e-33,5.30304355781133e-07,2.46676835548784e-07,0.0311048561451432,9.76592596519587e-35,1.94643849894467e-08,7.51607713977699e-31,2.54841906708897e-35,1.20465010501039e-22,6.3516926019991e-25,1.57791697560737e-19,5.79734687257478e-10,5.60081193769879e-22,1,1,1,1,1
"sROI_headthickness04",0.0393696312115241,0.0353779404584089,0.175889399463505,0.0909505264168679,0.0309523265163136,0.000294745382385639,2.14645409243538e-07,1.06758109544386e-08,1.91580414588605e-07,2.14645409243538e-07,5.22882708282972e-08,5.40586332953284e-06,0.0157991629072695,0.0132425630070687,2.88498772680063e-09,2.72260189045097e-07,0.0474577085473187,0.124739094690592,0.107373279841282,0.000305682868084764,0.33683487668138,0.19325275781424,0.386725117949493,0.00479049352024673,0.449662668708853,0.109639207390458,2.00632750093384e-06,9.32684778049169e-11,9.45354317557848e-09,4.73720762999654e-05,2.63990020146636e-05,3.45986405744482e-61,2.384399191867e-99,2.62156596920482e-36,0,1,1,1,1.11924864936384e-276,1,1.42072632916314e-51,2.7483666406857e-37,1.88835148854141e-26,7.77718546164447e-30,5.03729211185599e-19,1.76949570545183e-10,2.11496554100058e-22,0.165264519223216,1,1,1,1
"sROI_headthickness05",0.778432852164659,0.577406695543175,0.418791825252718,0.10338977835913,0.097725865370662,0.00121667080723264,0.0999109639982767,0.01914917161485,0.0555967597093324,0.0999109639982767,0.0483997254919057,0.00145145133684879,0.00291631953033946,0.0860848666597907,0.0859915500801235,8.76188288433885e-05,0.275316439270619,0.0515347063711724,0.399982985271962,0.0763609011262544,0.38933212160088,1.70424157681271e-55,0.249940497798299,0.0500754492742514,0.365418384109463,1.79923533910515e-17,4.17075179050976e-05,0.252534092060875,0.962354782023351,0.0343584283329938,0.000108174180022486,9.36109877844555e-29,0.900428343128046,5.0218215509577e-10,0.142784895175901,0,9.60516280436861e-12,1.08169206386069e-06,1,2.62055801956257e-32,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_headthickness06",0.316731272166483,0.52115661035836,0.776111467335277,0.142344848564644,0.374686497807816,0.0135537257363651,0.786462163088918,0.160333163343916,0.541316720388219,0.786462163088918,0.381496287065782,0.0575299469660894,3.20962371507424e-08,0.129772401659924,0.152618906558592,0.0438761129866676,0.448967274310278,0.149844911279987,0.584600918266842,0.541692255587321,0.641245386211108,0.00167524539661818,0.260157189298902,0.499512491784279,0.908224992631786,4.12363084348683e-06,0.949180566760793,0.901805868998459,0.763936244406534,0.501365156967997,0.00371731615972893,6.29561479684544e-38,7.58940339361612e-07,2.32275739688121e-10,0.0409229332504895,8.66110261890768e-15,0,2.05227121158451e-81,1,3.88258298130323e-13,1,0.537666716114392,1,1,1,1,1,1,1,1,1,1
