"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"tismri_volr01",-0.498712042119976,0.0644497089494879,-0.150447809524543,-0.131890019230673,-0.117994844993868,-0.198743288327812,-0.0425793200116123,-0.0333230572615367,-0.0333316229216265,-0.0474498167325337,1,0.184374167940245,-0.838389083041465,-0.223424537248325,-0.0370122012551881,-0.0927283166476483,0.0213333040851729,-0.0213333040851729,0.0354412203416215,0.185135747496953,-0.0843062642609171,0.0576747557235253,-0.0362743605324183,-0.0923953276375968,-0.224409565796948,0.0487293709533036,0.0293105912846152,-0.176763039391794,-0.0675806619307031,0.04340056813704,-0.167012365078951,-0.060627328391546,0.0362368927887144,-0.0127497046360004,0.110023196881729,-0.074021441703413,0.0315116430690755,-0.139254209842576,0.00962889474343383,0.00161544049169112,0.0148672746686282,-0.0585489776452807,-0.0799315938403976
"tismri_volr02",-0.273562164976228,0.00911089069345659,-0.125920258851128,-0.0782702985268599,-0.0953803154078912,-0.0579267112799805,0.00888891726263099,0.0623532490862629,0.0624233492675734,0.0578412734262008,0.184374167940245,1,-0.661451777628918,0.020018784020484,-0.20895473563725,-0.223299341890719,-0.0989789720439257,0.0989789720439257,-0.0916021500383081,0.00401840750903915,-0.160585663318395,-0.0995849520004413,-0.0737111478837525,-0.136397983972761,-0.252950564801168,-0.0925877676579503,0.0686434506662026,-0.253458332892718,0.051953760575687,0.0187595204438689,0.00559133376635068,-0.0756781775387745,0.0729204052037274,0.0657049022424321,0.23324702930909,-0.071558973264395,0.142577351604148,-0.0983229534592622,0.0645623799326441,0.032226698887944,0.0513062547402289,-0.0572050538157456,-0.0224070473824388
"tismri_volr03",0.5147825050578,-0.0445361822898439,0.176755756806742,0.141060528038809,0.143946794238894,0.178705951539163,0.0424370940043633,0.00472832098478615,0.00469798443490435,0.0143412990123889,-0.838389083041465,-0.661451777628918,1,0.151800331673327,0.122457920897617,0.173458009717811,0.0144005157158966,-0.0144005157158966,0.0212892550686323,-0.139937083069499,0.149076577847945,0.007848822753419,0.0591234807025172,0.134868425790012,0.31185065289338,0.0103570574937181,-0.0673918269778532,0.27216602104081,0.0193924966783905,-0.0325707294671023,0.119641887750892,0.0965108172598482,-0.0741412914305604,-0.0397843076258482,-0.221114851884611,0.102539232235965,-0.112437274965907,0.16268030756622,-0.0606344017523728,-0.0152611388285488,-0.0317608512171404,0.0848690292322182,0.0706620571029851
"tismri_TIV",0.0162641575475074,0.285664576964267,0.0975325571525728,0.124037452057404,0.00766857869809954,0.0813188233103117,0.142994738842703,0.112466620663278,0.112460516541119,0.0340310809410697,-0.223424537248325,0.020018784020484,0.151800331673327,1,0.0559938116097131,0.0564082923407674,-0.0313438561817432,0.0313438561817432,0.227121693545063,0.122189491948545,0.252794745782652,0.230097150477929,0.167185464829019,0.112320950849427,0.0193999537902055,0.24434906217565,0.110726285507159,0.0219427618005988,0.0987519155979849,0.0832885171411639,0.11140965366011,0.0941206095180167,0.0249763257035983,0.0287576364109122,0.0212517500270841,0.105948223049437,0.0479463380867766,0.145372963814625,-0.138435168095874,-0.0453383830481168,0.0596412519538668,-0.00884605059253611,0.115455156049372
"tis_bone",0.0697211070279018,-0.0188771071110596,0.0847942804381491,0.0532195409415668,0.10936197734512,-0.0334546938006116,-0.42882806216561,-0.423920460047344,-0.423941933657929,-0.315495007021876,-0.0370122012551881,-0.20895473563725,0.122457920897617,0.0559938116097131,1,0.731325460070162,0.752104460227123,-0.752104460227123,0.384641452474664,0.34030484228625,0.236437171523875,0.438181829266501,0.20097427176561,0.141349833854432,0.0771418438565495,0.40616363770016,0.219050322150894,0.133585487461515,-0.0793989344366223,-0.157873401967987,-0.0406157891176904,-0.249580273374747,0.0935248148468595,0.0690883889008795,-0.0339208745808685,-0.243729792473131,0.0769791578867917,0.0343489415115554,-0.0034099728493804,0.0167593458822498,-0.0253911544644042,0.0716744611182051,0.0679210390501076
"vROI_bonecortex03",0.105180669501459,-0.0273638174729363,0.296137253870898,0.270835493342181,0.300665531577264,0.217329870787914,-0.343994544489916,-0.306625111936459,-0.306647121948019,-0.189865148017356,-0.0927283166476483,-0.223299341890719,0.173458009717811,0.0564082923407674,0.731325460070162,1,0.678087119200852,-0.678087119200852,0.349178768137691,0.292064404372174,0.348311332480583,0.354904453688643,0.116889655196084,0.184668054128485,0.203252032910574,0.341984401806243,0.119801299331816,0.416609832310785,0.1072769431303,0.108736066260255,0.178561015100454,0.0886935632888353,-0.0488797510383462,0.0339354173705695,-0.0821882846981765,0.0857101151827177,-0.029592455790261,0.259028050359942,-0.0876850812409904,-0.0369414909335247,-0.0457130354352366,0.13731648695497,0.027479328177011
"sROI_bonecortex03",0.0395577784473819,-0.0851161323234278,0.0807723734914663,0.0281663389171469,0.0881143493142809,0.0138944379999552,-0.670727581346976,-0.571582624716112,-0.57161090369159,-0.402186784406792,0.0213333040851729,-0.0989789720439257,0.0144005157158966,-0.0313438561817432,0.752104460227123,0.678087119200852,1,-1,0.112138686677266,0.0664030173906074,0.0342247871837878,0.143881244760044,0.0983846723756628,0.0911864165883679,0.0112347895674775,0.115015988396241,0.113915145679498,0.114244092515801,-0.0924599084107763,-0.106967437722404,-0.0434836890685843,-0.229407178284594,0.0736637806213318,0.0121453038683996,-0.0366123124166427,-0.235355497229439,0.0657033022352003,0.0280433145085825,-0.0135185802415865,-0.0247799750329672,-0.0404456296114141,0.11758920062788,0.0246492582491569
"main_sBMDH",-0.0395577784473819,0.0851161323234278,-0.0807723734914663,-0.0281663389171469,-0.0881143493142809,-0.0138944379999552,0.670727581346976,0.571582624716112,0.57161090369159,0.402186784406792,-0.0213333040851729,0.0989789720439257,-0.0144005157158966,0.0313438561817432,-0.752104460227123,-0.678087119200852,-1,1,-0.112138686677266,-0.0664030173906074,-0.0342247871837878,-0.143881244760044,-0.0983846723756628,-0.0911864165883679,-0.0112347895674775,-0.115015988396241,-0.113915145679498,-0.114244092515801,0.0924599084107763,0.106967437722404,0.0434836890685843,0.229407178284594,-0.0736637806213318,-0.0121453038683996,0.0366123124166427,0.235355497229439,-0.0657033022352003,-0.0280433145085825,0.0135185802415865,0.0247799750329672,0.0404456296114141,-0.11758920062788,-0.0246492582491569
"sROI_bonethickness01",0.0747811771199016,0.0665967470889983,0.197576901726065,0.215965208875652,0.21788154820132,0.17183025586374,0.332743114844977,0.208731698031962,0.208701034874742,0.0840493123347189,0.0354412203416215,-0.0916021500383081,0.0212892550686323,0.227121693545063,0.384641452474664,0.349178768137691,0.112138686677266,-0.112138686677266,1,0.85107144037434,0.855711199437898,0.917710537117737,0.529831793350657,0.584800469730048,0.396163712781717,0.91711268462201,0.536032724237893,0.219241365668793,0.162591752997841,0.0598567707217705,0.201482918287576,0.0687462531340239,0.0871249294097016,0.0644966719179697,0.0094981360441417,0.0701883506521682,0.101346475276741,0.207481335923455,-0.105847176300104,0.00850197533370847,0.0393197376603236,0.070014157578725,-0.040574698156397
"sROI_bonethickness02",-0.0405928192888437,0.0715003304362937,0.106739020258658,0.129171032085597,0.135534817985006,0.103957601983908,0.33511386896828,0.191746143411281,0.191734753556996,0.0664198032140432,0.185135747496953,0.00401840750903915,-0.139937083069499,0.122189491948545,0.34030484228625,0.292064404372174,0.0664030173906074,-0.0664030173906074,0.85107144037434,1,0.632929164332358,0.813129669730263,0.323032279926292,0.416747159023411,0.257110937686339,0.800329598268692,0.331614573757043,0.160244676795611,0.0519715090904124,0.0568767055377227,0.0829124375184325,0.0720931445958763,-0.0377208186521709,0.0245057850808071,-0.0176842358300037,0.0669930056973377,-0.0513659802573248,0.13201237722039,-0.050984167268146,-0.0102719559433027,-0.0192000686591149,0.0542100586763655,-0.00618701595690152
