"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"tismri_volr01",-0.545677251919563,0.158964672423325,-0.105076954410671,-0.0220802110404048,-0.0210858138383641,-0.0899081504659882,0.00970490389398283,0.0798361632588711,0.083248646708484,0.130285922031994,1,0.288567407971962,-0.856252904329084,-0.156910182625687,-0.136135671218726,-0.0931640542832103,-0.0690680932060004,0.0690680932060004,0.0828800438996348,0.240910111790762,-0.079818122786876,0.0907250379141994,-0.0519050327070936,-0.0264382150270215,-0.231030410011126,0.106413219971461,0.0583338833378061,-0.195317211168724,-0.0787651792736087,0.0261707121537339,-0.101046198975913,-0.129464336393936,-0.00049905975692447,-0.0388678070001094,0.101390983104975,-0.152689974792742,0.044060487457788,-0.126347179008939,-0.00104192626513759,-0.133765827728871,0.042572268896028,-0.151736906306127,-0.216363836216447
"tismri_volr02",-0.270778078293472,0.102537740798666,-0.0954730940311844,-0.0575816306501343,-0.0596664183427776,-0.0527909771600298,-0.0545733956102374,-0.0218023350352857,-0.0169375836200372,0.0258729158267393,0.288567407971962,1,-0.719278559066142,0.0652266626970287,-0.109834973325258,-0.0915437726802493,0.00598433840722032,-0.00598433840722032,-0.00956473997467051,0.0801011244862588,-0.0848388457753805,-0.0260814777922304,0.0204816559012267,-0.0058499839727282,-0.211821358295512,-0.00446502650711572,0.0141876407690494,-0.235695904765746,-0.0449248266067969,-0.000137113328355751,-0.0844236796623137,-0.107223684771001,0.0681463960256671,-0.075411062674964,0.139174722924811,-0.121101907079014,0.0386083256986189,-0.0916189891682456,0.0120308635606116,-0.0312671459537957,0.105293121513931,-0.127443453887669,-0.122119557863563
"tismri_volr03",0.517683418511878,-0.161221620683386,0.135991177926692,0.0576615279533454,0.0508421396365317,0.095599974408617,0.0333617063191101,-0.0324973662227355,-0.0383406339810553,-0.0915615089813293,-0.856252904329084,-0.719278559066142,1,0.0707547653212946,0.140622801730339,0.100103476699763,0.02691224851044,-0.02691224851044,-0.0630551912266144,-0.214605080978356,0.0883098146162844,-0.0596813331224815,0.0209467196107596,0.021079484473744,0.277072244958253,-0.0814750190389653,-0.0617364558569305,0.269442478694723,0.0909252713796614,-0.00807456677788157,0.126938945735383,0.165041675916213,-0.0356172453534236,0.0655914676565774,-0.143800469030717,0.190103616601135,-0.0571755755293548,0.14577921970345,-0.0124379183740804,0.11788666385604,-0.079477054603169,0.185641593877898,0.212572811222847
"tismri_TIV",-0.0244730038770031,0.161997466075563,-0.0128063555327747,0.0570734762939052,0.0764928122287695,0.0728762033382074,0.167674514722247,0.187217754350696,0.186984075936304,0.169162852651411,-0.156910182625687,0.0652266626970287,0.0707547653212946,1,-0.0501638742528756,-0.0302880804214619,-0.108727047440484,0.108727047440484,0.195813604850635,0.154765693634659,0.215990724249342,0.172881043524174,0.135726348509455,0.0716076087419314,-0.00720780708006448,0.189851529631866,0.110471169746454,-0.0168800187143783,0.0680366770453491,0.0103766362459773,0.0647049339255726,0.0820474080661838,0.00462625917121805,0.0409271717086868,0.0368829164168557,0.0770046957150083,0.0566013491222613,0.07657287919582,-0.0352843556716853,-0.102332158989165,0.00675683273389447,0.0615111252041926,0.0396650151938536
"tis_bone",0.349533012010248,-0.04980959906695,-0.0434286640281507,-0.110262756328271,-0.098341200178595,-0.124267517132544,-0.621011804285903,-0.687123719557583,-0.693645303979471,-0.486299235987721,-0.136135671218726,-0.109834973325258,0.140622801730339,-0.0501638742528756,1,0.895952370628735,0.867769114121103,-0.867769114121103,0.334883863592476,0.157491142622455,0.268747387583463,0.403496112060209,0.225047985324871,0.26357661917192,0.192957267760586,0.35934404692416,0.186584438921129,0.0169636523233348,-0.221688096086485,-0.206561341482734,-0.240842926736102,-0.217647435061866,-0.105361484014501,-0.0223775997537666,-0.0373408807741068,-0.224164066790473,0.0032172688221729,-0.0900723124652353,-0.00430057815847794,0.0137604030944306,0.00317770118273621,0.0300456005428015,0.113807939057019
"vROI_bonecortex03",0.32223125773089,-0.076020664198377,0.0657125681983923,-0.0124124686288673,0.0093672698922531,-0.0246415052234105,-0.61464910086378,-0.616696435195037,-0.622622495919401,-0.415073071909837,-0.0931640542832103,-0.0915437726802493,0.100103476699763,-0.0302880804214619,0.895952370628735,1,0.858244143325204,-0.858244143325204,0.353845736244303,0.207312183881123,0.296267385946638,0.399557198122532,0.245849565007611,0.31403388872457,0.228500168132766,0.339584648439039,0.202927000242713,0.125665965054558,-0.156054912908787,-0.089529091239027,-0.16104510656142,-0.111432987173434,-0.140930561839584,-0.106722932505237,-0.0941821135925346,-0.123374689030669,-0.0239810948309351,0.015259254948447,-0.0199308738834144,-0.00227717406653534,-0.0361762383042971,0.0531395461132224,0.108405903307499
"sROI_bonecortex03",0.351038697327581,-0.105378383445565,-0.0713818792249969,-0.134211461940907,-0.0967868272580775,-0.126505481129986,-0.726235726387802,-0.723843334701445,-0.724553349663365,-0.478061048872735,-0.0690680932060004,0.00598433840722032,0.02691224851044,-0.108727047440484,0.867769114121103,0.858244143325204,1,-1,0.244648947770438,0.0870869560594782,0.181547497689932,0.290188378256825,0.208647950803226,0.248026999160961,0.107803989072941,0.24420381831133,0.190902076986256,-0.0158505620198937,-0.209652084146394,-0.148729308154818,-0.244573528210358,-0.217857557544701,-0.0691273176903845,-0.0714824859480631,-0.0100959320182641,-0.23084035600413,0.0328972082213622,-0.0918946656171601,0.0100549944136043,0.0203263597921926,0.0293528884037716,-0.018996670415611,0.0954193513370626
"main_sBMDH",-0.351038697327581,0.105378383445565,0.0713818792249969,0.134211461940907,0.0967868272580775,0.126505481129986,0.726235726387802,0.723843334701445,0.724553349663365,0.478061048872735,0.0690680932060004,-0.00598433840722032,-0.02691224851044,0.108727047440484,-0.867769114121103,-0.858244143325204,-1,1,-0.244648947770438,-0.0870869560594782,-0.181547497689932,-0.290188378256825,-0.208647950803226,-0.248026999160961,-0.107803989072941,-0.24420381831133,-0.190902076986256,0.0158505620198937,0.209652084146394,0.148729308154818,0.244573528210358,0.217857557544701,0.0691273176903845,0.0714824859480631,0.0100959320182641,0.23084035600413,-0.0328972082213622,0.0918946656171601,-0.0100549944136043,-0.0203263597921926,-0.0293528884037716,0.018996670415611,-0.0954193513370626
"sROI_bonethickness01",0.125913507202136,0.0349638612721296,0.0664452401331333,0.0489736932977232,0.0776769749992158,0.0954936886881971,0.246486703187944,0.097223526561118,0.0953179835729889,0.0349261464104064,0.0828800438996348,-0.00956473997467051,-0.0630551912266144,0.195813604850635,0.334883863592476,0.353845736244303,0.244648947770438,-0.244648947770438,1,0.850157969881168,0.877625122445534,0.929836569874918,0.63776842381543,0.609653835459031,0.425094498625625,0.930514686046978,0.475112886297603,0.0594015827856415,0.0338468403229274,0.0288581605919637,0.084899879975492,0.0426283587904027,-0.0646408242826142,-0.019404225342513,-0.0374824940261953,0.0121024833145294,-0.073764600761908,0.0879987849828954,-0.0116140517006028,-0.109104558355975,0.00939164198215627,0.0284765050304019,-0.0532613370749231
"sROI_bonethickness02",-0.0146282822368626,0.0689538599488138,0.0706376207223006,0.0763098983967819,0.109419614393719,0.112274629821784,0.32326516361084,0.202169743495565,0.199062580137832,0.129688950318476,0.240910111790762,0.0801011244862588,-0.214605080978356,0.154765693634659,0.157491142622455,0.207312183881123,0.0870869560594782,-0.0870869560594782,0.850157969881168,1,0.653761627329859,0.76252211759113,0.460322363196461,0.44538129910586,0.303667873856023,0.771770101782749,0.316657181025538,0.0680807983063059,0.0390469156846706,0.0781254305018881,0.127100449754675,0.0822726348614286,-0.0811892261908605,-0.0575307330266205,-0.0930830897363243,0.0434008688948217,-0.115644050004401,0.0870435655477459,-0.0348787935351911,-0.0980118121570143,0.0222864686551373,-0.0101432769337829,-0.0972084877887027
