"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"sROI_bonethickness04",0.00934305046289717,0.000102180249099692,0.0425827642654413,0.560675213919446,0.182740966221112,1.36859958757643e-27,3.70430487309083e-11,6.76091077464427e-14,2.29716693111771e-11,3.70430487309083e-11,1.00528876336575e-11,1.79666247318445e-15,3.26630254587729e-27,1.21996379289052e-21,6.1834657619745e-11,1.43958075978819e-17,1.37461719197991e-20,2.29493074934569e-218,3.07545905920854e-96,1.37016135190832e-117,0,3.27087205494435e-29,8.39914712377562e-29,1.0556524594861e-09,1.6068165828207e-249,1.02503807175579e-11,0.0321404911706078,1,1,1,1,1,1,1,1,1,1,1,1,0.334488925361362,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness05",0.00107153564072179,0.00235463010558878,0.246656817389158,0.64775341881602,0.640312545617874,2.24721106716001e-10,2.52968968322071e-06,1.3686388282546e-06,1.09271632826976e-05,2.52968968322071e-06,5.94578940519042e-07,0.0085894222796571,9.60747134589179e-10,3.82019654797562e-10,1.06077351738072e-05,1.17984281189534e-05,2.55754385913148e-08,1.92153186222586e-58,1.36797720416799e-27,1.85436208916956e-40,2.7884672250165e-32,0,1.84806849615172e-24,1.22335570056152e-08,7.50470601719632e-30,6.71015443313485e-23,1,1,1,1,1,1,1,1,1,0.0158186441304242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness06",0.000352855024887515,0.109767127150714,0.555324797344437,0.896184038983543,0.638194906098912,6.94731856944099e-11,1.90708430849508e-08,1.10310147836284e-07,8.8364365377812e-07,1.90708430849508e-08,6.76558410488963e-08,8.20464475071134e-07,0.00355521657476967,3.91527225482684e-06,1.39732834164942e-07,2.63661769402164e-08,6.62096948387144e-13,3.26577871389028e-52,9.79921716034142e-26,2.37371907291323e-41,7.17262777436005e-32,1.59867516968142e-27,0,1.42976074909072e-60,1.81292138787841e-26,0.000112679240620342,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00335325955494006,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness07",4.96769121877927e-09,0.872274427167617,1.75190740432094e-07,1.76214295333996e-06,2.90343042175212e-10,0.000150393578762734,0.0158840540113304,0.0045816119119079,0.00539426208594151,0.0158840540113304,0.00128278607983939,0.0306142511482207,0.0548375661249363,0.00993647974231481,0.00188203247599184,0.0189753319411215,2.40285417196002e-07,2.33002640951892e-23,3.9848016737614e-12,1.90228489528976e-22,9.79269442937011e-13,1.14546413910255e-11,1.1777271409314e-63,0,1.03164414933144e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727659041487886,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness08",0.031773443849122,1.92418324490266e-05,0.0172995646111699,0.920668535771454,0.0687126887215089,4.37745530172088e-22,3.18680944941343e-08,1.2815838680356e-10,7.49141366281081e-09,3.18680944941343e-08,5.50236429076542e-09,2.04595694011817e-12,7.28369904922782e-23,5.82715161414807e-18,5.40957204896866e-08,5.56040529156891e-14,5.8314432006886e-15,2.2295489879609e-219,5.66536837302931e-100,1.33787938210049e-117,1.21913246041025e-252,6.3869838444224e-33,1.55749260127011e-29,9.76935747472955e-11,0,2.04693629406716e-11,0.000252254817483562,1,1,1,1,1,1,1,1,0.791829684508678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness09",0.00182165971396089,0.0134511106682636,0.19283788478383,0.751647922150116,0.168101736363667,3.53624568383727e-11,1.72655560019578e-05,2.77982855487253e-05,0.00110818525131117,1.72655560019578e-05,0.000431485405023182,8.80316367414903e-10,1.59794603539375e-09,9.5403581681423e-08,0.000613112013008435,2.44966098643708e-06,4.78722489389063e-06,1.61168900667485e-29,4.15690861698965e-13,1.08221496036702e-12,9.36963502519002e-15,5.83999515503469e-26,1.12566673946396e-07,0.004498956849674,1.87448378577579e-14,0,1,1,1,1,1,8.82984933448156e-05,1,1,1,0.199127554587529,1,1,1,4.76938608921754e-40,1,1,1,1,1,1,1,1,1,1,1,1
"v_23226_2_0",4.50501581282791e-06,0.0001654650161236,0.828621251064347,0.223166256077913,0.456676542146556,1.92984188207274e-62,4.325099972942e-83,3.60285629547097e-69,1.20163602399724e-56,4.325099972942e-83,5.19465770345839e-63,1.46960777988991e-47,4.91092466314244e-37,3.57217497749479e-40,2.21521582053258e-65,6.88529122653679e-51,2.83634816902127e-53,2.34776042341547e-08,1.26091721748687e-13,6.68480368746868e-13,3.50878724569954e-05,0.0852690632896631,0.15733534300457,0.00701558658394564,2.54802845942992e-07,0.612821885336027,0,1.58570341843683e-106,1.41376965063514e-25,1,1,0.687741802967251,0.347181224515489,3.1771663401861e-05,0.000650116004681775,1,1,1,0.000975385073449124,0.103524729800106,1,0.0297043352600229,1,1,1,1,1,1,1,1,1,1
"v_23239_2_0",5.43439831688681e-09,2.57875714451887e-05,0.0628760431996666,0.705567987852469,0.392279139107303,7.86621490962757e-61,1.56340959670517e-82,1.76077819680718e-79,1.05838089146521e-68,1.56340959670517e-82,2.95209265660326e-77,2.69684038298706e-48,1.34014748076853e-45,1.53928374522688e-46,1.30401347924953e-75,4.05349585849993e-55,5.2348325784202e-55,0.0330978675421407,7.29151019158007e-06,0.00221877893238673,0.589591368527371,0.667489378566572,0.7742903989342,0.299148278460025,0.199636651932746,0.409581697529646,1.27059568785002e-109,0,1.91152300989874e-83,0.967666241530335,0.0149254011405971,2.56109982675719e-07,0.000272445466158312,3.36560446793155e-14,3.38084815478961e-07,1,1,1,2.14279158940284e-06,1,0.872886346412959,1.12425529617364e-11,0.000239523155408806,5.73104062172691e-08,5.15021656620134e-06,1,6.4387145577158e-05,1,1,1,1,1
"v_23300_2_0",2.6511737026376e-08,0.000144373371223361,0.00351788867067067,0.563814754390672,0.0407019128663546,2.28057458590255e-22,6.47810282788262e-30,1.11915742064344e-31,7.88423383862981e-30,6.47810282788262e-30,6.39079317269329e-33,5.51765945803403e-21,3.21950173630629e-23,3.93362169395178e-20,1.22283141843848e-29,1.8907079142696e-24,3.04190194309929e-22,0.435829246080012,0.00367309210588877,0.299239696118664,0.937872374254099,0.732023772837101,0.173920434375204,0.897323506772075,0.848566072795103,0.755262480293102,1.2177171840096e-28,1.54779191084918e-86,0,0.0220731344751702,1.80460272486365e-07,0.000204686423524894,0.00810027321162241,3.09714222459308e-09,0.00116337141386502,1,1,1,0.00973004376027329,1,1,8.01444580072091e-08,0.00142105854257084,2.78762398754497e-08,1.38677602471892e-05,1,0.0162295307034316,1,1,1,1,1
"v_51_2_0",2.10341185540342e-09,0.000275446429303924,0.000359199754029762,0.0218409813974062,0.000294935503945691,0.172201483749462,0.018423223223955,0.0377520421285023,0.318496333080126,0.018423223223955,0.0462675462637849,0.0091867353478066,0.0108260291305849,0.0214622799285733,0.0606316715476544,0.0245449600842639,0.0894932179562078,0.435333516877331,0.123601971599116,0.243401768458351,0.398990325123832,0.350343820993895,0.632155736213509,0.884073934255155,0.34491094169984,0.439914632130659,0.0344686047553124,0.00113575849944875,2.39145552277033e-05,0,1.07207578513155e-62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"v_50_2_0",3.96465246149559e-06,6.91791753901233e-09,0.164844964398582,0.135153542598341,0.118311423433774,0.0353279731220113,0.0171357941769683,0.00687609915373841,0.0679564477116832,0.0171357941769683,0.00944528317987172,0.00137348771888685,1.90536223675794e-05,0.0118209746521281,0.0191275507712193,0.000749714458970146,0.109176652162481,0.960793731857025,0.333207799155171,0.46467034383708,0.993988526994231,0.994466032130067,0.124379553642391,0.568035309991192,0.901782131845673,0.0420517942902089,0.0148829921770026,1.5980086874301e-05,1.71377276815161e-10,8.8091683248279e-66,0,1,1,1,1,1,1,1,1,0.919461544544555,1,1,1,1,1,1,0.0219070975780754,1,1,1,1,1
