"","sex","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"femur_BMD",-0.0238884566822213,-0.150092800764242,0.116591837257141,0.185130146462489,0.203716076771818,0.122379914069005,0.300947249618718,0.421288391399313,0.599524878114901,0.731577311577312,1,0.0266591784058097,0.0421542047480384,-0.0330841311522232,0.0944583467417218,-0.397355768792628,-0.295830900693263,-0.438273381459006,0.438273381459006,0.0594137204044731,0.097569619716506,0.0902047556170411,0.0129329836313648,0.0232929491796781,0.0230934006868454,0.056770006604268,0.0232770608831781,-0.00421312057966209,0.127433971944178,0.203707238874065,0.197034691132231,0.20633361190462,0.22819445520154,0.0289208758752648,0.0227881071299287,0.00957935772304809,0.21887241540844,-0.0314997738777712,0.213648204306502,-0.0354173148968673,-0.0215506576975608,0.0543982757968533,0.0842703532867494,-0.0129938581377892
"tismri_volr01",0.340567002328934,-0.513655543267677,-0.150922331682416,-0.268660306667224,0.0532700604758737,0.178072125123016,-0.183148073648104,-0.0550165878717807,-0.191701421064696,-0.0579181796497323,0.0266591784058097,1,0.250629598976924,-0.862013093080073,-0.372818064654269,-0.104930244331597,-0.149693349326884,0.044226635050984,-0.044226635050984,0.0635967838408462,0.240640082787156,-0.131662788370807,0.068443415721621,0.00654229878949169,-0.0383565616998233,-0.259709719690124,0.0643351569986444,0.11784903016968,-0.156803427453487,-0.202592605552938,-0.0324945130066725,-0.304170653153374,-0.177834821473839,0.0134690270365532,-0.11657052609708,0.0803508544646243,-0.203473241829587,0.0639379582181981,-0.278127542369063,-0.00197033890052001,-0.0491793955182376,0.00925465684663132,-0.110419558615947,-0.177190129800655
"tismri_volr02",0.0828824288462334,-0.27895615571699,-0.0229503011971349,-0.138063432223022,-0.0334881710365028,-0.00117346905717685,-0.0683614483574618,-0.0334578201998291,-0.0345893682434804,0.00136500017663428,0.0421542047480384,0.250629598976924,1,-0.683021845460591,-0.02988773733186,-0.167114183761347,-0.172342191672959,-0.0231392962588715,0.0231392962588715,-0.0488165489957633,0.0525037508875237,-0.136419325483426,-0.0637417058736552,-0.018479584117074,-0.0642732102715118,-0.245766075008617,-0.0501556194152151,0.0595844868040053,-0.238887427864637,-0.0306149359104425,-0.00845975714334586,-0.0672799442587179,-0.109836209270171,0.0721269077548853,-0.0317094929612934,0.17955164616558,-0.11816624931148,0.0922500465390304,-0.121608006229324,0.0359824709379493,0.00252075606757284,0.0736341705307829,-0.0938307791150002,-0.0800046280540919
"tismri_volr03",-0.295987240652952,0.515582533438346,0.129096788365813,0.270827265444308,-0.0201144562086462,-0.131462455660201,0.170756088883635,0.0682569498134322,0.169183880089815,0.051237191485176,-0.0330841311522232,-0.862013093080073,-0.683021845460591,1,0.288291727161438,0.146037934320716,0.184841283585977,-0.0417428213625614,0.0417428213625614,-0.0307272292370098,-0.205821006941477,0.15866624252978,-0.0279018695738836,-0.00645214556903231,0.0564107794423264,0.323301852555806,-0.0318728685267828,-0.127295065926863,0.240659091124415,0.16998188004707,0.0359776445696141,0.265296889835589,0.199552838731894,-0.0542615963287211,0.0961972867751155,-0.157337949272303,0.223689878368889,-0.101323374502078,0.272541347397175,-0.0254406571873693,0.0388945833258636,-0.0430626115149643,0.136620531028018,0.167475565475349
"tismri_TIV",-0.723914463254094,0.0487715401840819,0.584636971895884,0.390300368496676,-0.20107418469352,-0.475017743308239,0.174524323745837,0.195907203196698,0.533622648429592,0.276037722865836,0.0944583467417218,-0.372818064654269,-0.02988773733186,0.288291727161438,1,0.0566157178008036,0.145088937794274,-0.213091344872548,0.213091344872548,0.133334733934856,0.0106272083286041,0.29834603914184,0.152125696796862,-0.00215384033476293,0.034040922491869,0.104311865019839,0.174977833576238,-0.109632203499102,-0.0313428129796114,0.353848594833328,0.171128169096628,0.492977739767072,0.249110640057279,-0.00145339950572189,0.215286549161707,0.071053314332274,0.279882588637658,-0.040994093609005,0.44287637155435,-0.038230191165813,-0.0661480635061909,0.0520891090517975,0.0402811515705397,0.125635648062727
"tis_bone",-0.0786213895743922,0.219616281699672,0.026055313655776,0.0679989987177605,-0.0562344626082604,-0.0509603567852892,-0.068543064241495,-0.515588137790766,-0.386222874609354,-0.525262667397205,-0.397355768792628,-0.104930244331597,-0.167114183761347,0.146037934320716,0.0566157178008036,1,0.808887083898616,0.767031909784566,-0.767031909784566,0.357359113938325,0.239339925858902,0.260925992479606,0.41898690856386,0.191776582250434,0.199550918148844,0.146913174060844,0.381990861240883,0.167010639978217,0.0711746604208941,-0.103009768673712,-0.15811274735977,-0.0616228446709677,-0.198270410771933,0.0105103682264068,0.0410322098406963,-0.030911878695491,-0.192358635540953,0.0388577297510856,0.0148892663695749,-0.00269360388878469,0.0148054704583792,-0.00860408386298978,0.0548127149105037,0.0980560678797675
"vROI_bonecortex03",-0.193747311251937,0.223012436240021,0.0894666292223472,0.257414265720336,0.0408003317379557,-0.030862678180223,0.111017158744375,-0.453474055205454,-0.241343336168117,-0.404571781632374,-0.295830900693263,-0.149693349326884,-0.172342191672959,0.184841283585977,0.145088937794274,0.808887083898616,1,0.693674066695276,-0.693674066695276,0.337431820009707,0.221029429552961,0.338400770993661,0.371651887905247,0.136919324814192,0.236616293429946,0.239035131646983,0.336718441144965,0.0956736914507031,0.246206339438233,0.0573672962187604,0.052458195799049,0.122831653149512,0.0454364636162205,-0.0835350280531806,0.016153217316249,-0.0758147672734306,0.0478557704499244,-0.0371028756629741,0.213581838128728,-0.0454596520462593,-0.0233815650455459,-0.0365859486310511,0.102609299464222,0.087664531551174
"sROI_bonecortex03",0.219960223027027,0.194840008609653,-0.210385981659657,-0.106850135417473,0.0259193005287228,0.140300627603868,-0.0992754020648848,-0.701440843621243,-0.642167834773655,-0.676278310585125,-0.438273381459006,0.044226635050984,-0.0231392962588715,-0.0417428213625614,-0.213091344872548,0.767031909784566,0.693674066695276,1,-1,0.182016750990181,0.0945665672202386,0.072306765998797,0.21546340480965,0.176987234800139,0.181748154908337,0.027219691508735,0.173818073527861,0.191027812493909,0.0585863260839615,-0.227639824517179,-0.15166749553778,-0.255202547341633,-0.254571078178693,0.00967431331540106,-0.090792014943981,-0.037333996854167,-0.270133044500169,0.0670896869962899,-0.146938800118793,-0.00234946941689212,0.00272990643476178,-0.0127299635119515,0.0299764785866308,0.0478769826036649
"main_sBMDH",-0.219960223027027,-0.194840008609653,0.210385981659657,0.106850135417473,-0.0259193005287228,-0.140300627603868,0.0992754020648848,0.701440843621243,0.642167834773655,0.676278310585125,0.438273381459006,-0.044226635050984,0.0231392962588715,0.0417428213625614,0.213091344872548,-0.767031909784566,-0.693674066695276,-1,1,-0.182016750990181,-0.0945665672202386,-0.072306765998797,-0.21546340480965,-0.176987234800139,-0.181748154908337,-0.027219691508735,-0.173818073527861,-0.191027812493909,-0.0585863260839615,0.227639824517179,0.15166749553778,0.255202547341633,0.254571078178693,-0.00967431331540106,0.090792014943981,0.037333996854167,0.270133044500169,-0.0670896869962899,0.146938800118793,0.00234946941689212,-0.00272990643476178,0.0127299635119515,-0.0299764785866308,-0.0478769826036649
"sROI_bonethickness01",0.0203031114233429,0.100081358606988,0.0230654828835688,0.108209915247327,0.129864793721409,0.127604971224658,0.127663820320395,0.284334534042664,0.10886195429246,0.141072746922858,0.0594137204044731,0.0635967838408462,-0.0488165489957633,-0.0307272292370098,0.133334733934856,0.357359113938325,0.337431820009707,0.182016750990181,-0.182016750990181,1,0.848947753743074,0.844311125891928,0.923656969121631,0.567086691655996,0.594680833667001,0.404144383864438,0.922504840648081,0.481768749151205,0.1375453220756,0.0821748567754134,0.0409985526242834,0.105015032671701,0.0486441585029849,0.0214650779764921,0.0131877654933543,-0.0148484443184403,0.0330644081313304,0.0210520970730984,0.118858235158698,-0.0598635345369717,-0.0448897909245201,0.0253141438218643,0.0490206603365171,-0.0494107155845752
"sROI_bonethickness02",0.117582067321343,-0.033535660395145,-0.0290201629595314,0.029011723361673,0.136689216350975,0.174013137551685,0.0881106721426624,0.312964552192468,0.0857072969067099,0.162826235084288,0.097569619716506,0.240640082787156,0.0525037508875237,-0.205821006941477,0.0106272083286041,0.239339925858902,0.221029429552961,0.0945665672202386,-0.0945665672202386,0.848947753743074,1,0.603917016198809,0.78299396560426,0.39197152941543,0.43399262327965,0.258991721049058,0.777774742441009,0.327774907941144,0.11845174423855,-0.00866811060426655,0.0485481505585954,0.0156044540088549,0.0456832861652805,-0.0569935404649204,-0.0561648605457197,-0.0602502409497598,0.0211411552975531,-0.0672294722716828,0.0418678322798043,-0.0471399034512061,-0.0492372389475417,-0.00493908050906635,0.017553884730704,-0.0635842765691189
