"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"sROI_bonethickness05",0.00107153564072179,0.350343820993895,0.664495379432224,0.967575977526391,0.54688225140293,0.292757585293954,0.0852690632896631,0.762815095340552,0.667489378566572,0.732023772837101,0.246656817389158,0.64775341881602,0.640312545617874,0.00235463010558878,3.67618105790515e-07,2.55754385913148e-08,2.52968968322071e-06,2.52968968322071e-06,1.92153186222586e-58,1.36797720416799e-27,1.85436208916956e-40,2.7884672250165e-32,0,1.29812423778131e-24,8.65970889161524e-09,5.26287468780406e-30,4.71287609011299e-23,1,1,1,1,1,0.0111222192385405,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness06",0.000352855024887515,0.632155736213509,0.670478561725818,0.47628510071513,0.756993685192761,0.58145951410175,0.15733534300457,0.725700273650603,0.7742903989342,0.173920434375204,0.555324797344437,0.896184038983543,0.638194906098912,0.109767127150714,2.161793397867e-09,6.62096948387144e-13,1.90708430849508e-08,1.90708430849508e-08,3.26577871389028e-52,9.79921716034142e-26,2.37371907291323e-41,7.17262777436005e-32,1.59867516968142e-27,0,1.00342352407355e-60,1.27247145523768e-26,7.93595051322091e-05,1,1,1,1,1,1,1,1,1,0.0023465801697227,1,1,1,1,1,1
"sROI_bonethickness07",4.96769121877927e-09,0.884073934255155,0.00183508998078093,0.240465755871669,0.13148320248387,0.285704858515644,0.00701558658394564,0.311724803252249,0.299148278460025,0.897323506772075,1.75190740432094e-07,1.76214295333996e-06,2.90343042175212e-10,0.872274427167617,1.39432391907693e-05,2.40285417196002e-07,0.0158840540113304,0.0158840540113304,2.33002640951892e-23,3.9848016737614e-12,1.90228489528976e-22,9.79269442937011e-13,1.14546413910255e-11,1.1777271409314e-63,0,7.28794067614824e-08,1,1,1,1,1,1,1,1,1,1,0.516022402538339,1,1,1,1,1,1
"sROI_bonethickness08",0.031773443849122,0.34491094169984,0.752977466933674,0.670348241773689,0.407307770524293,0.169266847853001,2.54802845942992e-07,0.169004757870265,0.199636651932746,0.848566072795103,0.0172995646111699,0.920668535771454,0.0687126887215089,1.92418324490266e-05,1.09782552172663e-16,5.8314432006886e-15,3.18680944941343e-08,3.18680944941343e-08,2.2295489879609e-219,5.66536837302931e-100,1.33787938210049e-117,1.21913246041025e-252,6.3869838444224e-33,1.55749260127011e-29,9.76935747472955e-11,0,1.44522699883313e-11,1,1,1,1,1,0.559805172303809,1,1,1,0.782264256041524,1,1,1,1,1,1
"sROI_bonethickness09",0.00182165971396089,0.439914632130659,0.611818509652234,0.634120232672787,0.577346142292932,0.423182851318337,0.612821885336027,0.463425278662171,0.409581697529646,0.755262480293102,0.19283788478383,0.751647922150116,0.168101736363667,0.0134511106682636,2.68523538813313e-05,4.78722489389063e-06,1.72655560019578e-05,1.72655560019578e-05,1.61168900667485e-29,4.15690861698965e-13,1.08221496036702e-12,9.36963502519002e-15,5.83999515503469e-26,1.12566673946396e-07,0.004498956849674,1.87448378577579e-14,0,1,6.2116452532124e-05,1,1,1,0.141179198814304,1,1,1,3.35548869283632e-40,1,1,1,1,1,1
"tis_head",0.00934758616646797,0.763452607542163,1.24094897208944e-70,9.56797041996915e-60,9.64586810966887e-58,2.21725873172698e-36,0.279807705673907,0.000586456779354967,0.00101972704020206,0.00315501638490862,1.0878507377903e-05,9.69034539975181e-08,9.15733810507243e-10,0.706522313070171,0.705135966203943,0.00489129607338359,0.723665312930324,0.723665312930324,0.184804421875553,0.128438853526092,0.0351185378541303,0.118868660818401,0.750988978337234,0.558433865712629,0.0019118818976305,0.658304381269485,0.833678823770499,0,8.54134321659238e-41,5.49957285582017e-48,1.42727117562715e-55,5.90732228548833e-72,1,1,0.229904899152844,4.89061986259536e-72,1,6.04661368368315e-56,1,1,1,0.00202733178680295,1
"sROI_headthickness01",0.383296536679734,0.845183120299146,1.27844206416191e-26,2.8715164076052e-26,3.74828346917431e-22,6.68486512197421e-25,0.000795077228863875,1.66367576077874e-10,2.43682190937887e-10,2.05921955256432e-07,0.0784808684707824,0.316082076283618,0.0421259829740747,0.12868713071956,5.52489574305149e-07,0.000461364116292601,2.25757132338608e-06,2.25757132338608e-06,0.450152704149069,0.383610801623694,0.677106126656121,0.458457312934543,0.197329148411877,0.00237215883999932,0.78182241938402,0.194515222450514,8.78591973580255e-08,1.02291535528052e-43,0,8.94321542159029e-69,2.0663458875772e-124,1.98706317885562e-69,8.3336382536789e-27,1.62328221390055e-25,4.3375794881107e-09,5.95278855432644e-76,1.52990491082408e-19,1.07754686742758e-22,1,1,1,1,1
"sROI_headthickness02",0.00313126285457347,0.0538025394351341,8.99849633658061e-26,3.7864658028013e-26,1.92882741207613e-22,7.70655227334696e-22,0.00039542280696525,1.83398804278769e-07,2.75754520403149e-07,8.58079789366781e-06,0.559334527666983,0.997559854562154,0.857071051121517,0.816962015470705,3.19893564676247e-06,0.0453988083046782,0.00085012652998677,0.00085012652998677,0.519700527045196,0.0809442140237898,0.485693525083919,0.459289665223362,0.270547225490415,0.0814959292692895,0.301432902661818,0.958907833041288,0.658482695186565,6.55491401170461e-51,1.04354905736176e-71,0,7.68148189769256e-41,7.57412047594737e-81,1,0.252309210676302,0.0865753543576946,4.46706308426081e-84,1,3.84904745034388e-23,1,1,1,1,1
"sROI_headthickness03",0.487579391666466,0.678629658541756,3.28892641505441e-43,8.10925401846321e-41,3.00067490735726e-36,1.31783537801206e-39,3.12713222459262e-08,1.79105589875257e-17,3.04579589858059e-17,2.88643264174565e-12,0.0238465489869024,0.0592390706546459,0.00447127959372311,0.148531123674917,4.96962504680752e-08,0.000299545771253704,3.03357527926732e-08,3.03357527926732e-08,0.0578155515818817,0.00442038898963551,0.0390810149428891,0.411097126324834,0.797506030332441,0.00984058923350686,0.145506988074435,0.694674537401545,0.00742954751824772,1.68310280144712e-58,2.32958950121443e-127,9.1883754757088e-44,0,1.91753395390485e-47,2.94573529288976e-05,0.0260958196711423,1,2.69131414881015e-49,0.00786648820085175,1.36411472360332e-43,1,1,1,1,1
"sROI_headthickness04",0.111238403873257,0.0507622541005825,3.9748839214006e-22,2.929777805611e-25,6.55474534174413e-20,1.27099631597594e-18,6.62707446158792e-07,1.11486217462856e-10,3.22600014770001e-10,1.19811680109683e-06,0.00373307733552879,0.0164618425573585,0.000210013673405106,0.0667824073269052,8.94244398086028e-07,0.0126579596044185,8.72325625701429e-07,8.72325625701429e-07,0.341479622003681,0.066035176203589,0.0749495030956998,0.19868721406763,0.723872866548187,0.227643079872813,0.105081071278338,0.784759652400206,0.201419589227498,6.86897940173062e-75,2.31592445088067e-72,8.70588560453721e-84,2.28822667530412e-50,0,1,1,1,4.40798299318773e-260,1,2.41959201166503e-21,1,1,1,1,1
